# ECG I-Ref,ECG II-Ref,ECG III-Ref,ECG AVR-Ref,ECG AVL-Ref,ECG AVF-Ref,ECG V1-Ref,ECG V2-Ref,ECG V3-Ref,ECG V4-Ref,ECG V5-Ref,ECG V6-Ref
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000038e-05,1.275000000000000092e-03,1.260000000000000052e-03,-1.275000000000000092e-03,0.000000000000000000e+00,1.275000000000000092e-03,-7.349999999999999763e-04,-8.350000000000000217e-04,-8.549999999999999658e-04,-8.549999999999999658e-04,-8.649999999999999920e-04,-8.350000000000000217e-04
3.000000000000000076e-05,2.550000000000000183e-03,2.520000000000000104e-03,-2.550000000000000183e-03,0.000000000000000000e+00,2.550000000000000183e-03,-1.469999999999999953e-03,-1.670000000000000043e-03,-1.709999999999999932e-03,-1.709999999999999932e-03,-1.729999999999999984e-03,-1.670000000000000043e-03
7.000000000000000742e-05,3.825000000000000275e-03,3.755000000000000091e-03,-3.765000000000000117e-03,-6.000000000000000152e-05,3.825000000000000275e-03,-2.145000000000000205e-03,-2.425000000000000506e-03,-2.455000000000000151e-03,-2.464999999999999743e-03,-2.484999999999999796e-03,-2.410000000000000250e-03
1.100000000000000039e-04,5.100000000000000366e-03,4.990000000000000512e-03,-4.980000000000000919e-03,-1.200000000000000030e-04,5.100000000000000366e-03,-2.820000000000000024e-03,-3.180000000000000101e-03,-3.200000000000000153e-03,-3.220000000000000206e-03,-3.240000000000000258e-03,-3.150000000000000022e-03
1.000000000000000048e-04,5.310000000000000484e-03,5.210000000000000221e-03,-4.445000000000000166e-03,-9.250000000000000409e-04,5.370000000000000641e-03,-2.565000000000000006e-03,-2.874999999999999951e-03,-2.885000000000000411e-03,-2.899999999999999800e-03,-2.919999999999999853e-03,-2.850000000000000103e-03
8.999999999999999212e-05,5.520000000000000601e-03,5.429999999999999931e-03,-3.910000000000000281e-03,-1.729999999999999984e-03,5.640000000000000048e-03,-2.309999999999999987e-03,-2.569999999999999802e-03,-2.569999999999999802e-03,-2.580000000000000262e-03,-2.600000000000000314e-03,-2.550000000000000183e-03
3.000000000000000076e-05,4.245000000000000509e-03,4.214999999999999997e-03,-2.635000000000000189e-03,-1.729999999999999984e-03,4.364999999999999956e-03,-1.374999999999999920e-03,-1.515000000000000071e-03,-1.505000000000000044e-03,-1.510000000000000057e-03,-1.520000000000000084e-03,-1.500000000000000031e-03
-3.000000000000000076e-05,2.970000000000000417e-03,3.000000000000000062e-03,-1.360000000000000098e-03,-1.729999999999999984e-03,3.089999999999999865e-03,-4.400000000000000157e-04,-4.600000000000000139e-04,-4.400000000000000157e-04,-4.400000000000000157e-04,-4.400000000000000157e-04,-4.500000000000000419e-04
-1.500000000000000038e-05,1.695000000000000109e-03,1.709999999999999932e-03,-6.650000000000000095e-04,-1.150000000000000197e-03,1.814999999999999990e-03,-2.300000000000000070e-04,-2.400000000000000061e-04,-2.200000000000000078e-04,-2.250000000000000209e-04,-2.250000000000000209e-04,-2.250000000000000209e-04
0.000000000000000000e+00,4.200000000000000174e-04,4.200000000000000174e-04,3.000000000000000076e-05,-5.700000000000000856e-04,5.400000000000000069e-04,-2.000000000000000164e-05,-2.000000000000000164e-05,0.000000000000000000e+00,-1.000000000000000082e-05,-1.000000000000000082e-05,0.000000000000000000e+00
3.000000000000000076e-05,1.634999999999999952e-03,1.605000000000000090e-03,-1.245000000000000230e-03,-5.150000000000000498e-04,1.760000000000000063e-03,-7.349999999999999763e-04,-8.300000000000001170e-04,-8.350000000000000217e-04,-8.400000000000000348e-04,-8.449999999999999395e-04,-8.050000000000000515e-04
6.000000000000000152e-05,2.850000000000000103e-03,2.789999999999999945e-03,-2.520000000000000104e-03,-4.600000000000000139e-04,2.980000000000000010e-03,-1.449999999999999900e-03,-1.640000000000000182e-03,-1.670000000000000043e-03,-1.670000000000000043e-03,-1.680000000000000070e-03,-1.610000000000000103e-03
5.500000000000000196e-05,4.125000000000000194e-03,4.070000000000000701e-03,-3.725000000000000012e-03,-5.300000000000000891e-04,4.255000000000000102e-03,-2.139999999999999975e-03,-2.415000000000000046e-03,-2.439999999999999895e-03,-2.444999999999999691e-03,-2.464999999999999743e-03,-2.385000000000000401e-03
5.000000000000000240e-05,5.400000000000000286e-03,5.350000000000000588e-03,-4.929999999999999487e-03,-5.999999999999999474e-04,5.530000000000000193e-03,-2.830000000000000050e-03,-3.190000000000000127e-03,-3.210000000000000180e-03,-3.220000000000000206e-03,-3.250000000000000284e-03,-3.160000000000000048e-03
6.000000000000000152e-05,5.505000000000000344e-03,5.445000000000000187e-03,-4.440000000000000370e-03,-1.195000000000000099e-03,5.635000000000000252e-03,-2.560000000000000209e-03,-2.874999999999999951e-03,-2.879999999999999748e-03,-2.899999999999999800e-03,-2.915000000000000056e-03,-2.850000000000000103e-03
